,,total,1,2,3,4,5,6,7,8,9,10,11,12
total,accident,"220,917","17,067","15,664","17,946","19,452","19,554","17,977","18,955","18,398","17,883","19,918","19,234","18,869"
total,dead,"4,292",336,292,310,353,347,321,358,336,375,440,416,408
total,injured,"331,720","26,323","24,021","26,609","29,216","29,172","26,668","28,586","28,017","26,761","29,635","28,520","28,192"
total,severely injured,"82,463","6,603","5,932","6,681","7,424","7,444","6,718","6,941","6,892","6,491","7,435","7,111","6,791"
total,slightly injured,"226,283","18,030","16,513","18,059","19,815","19,667","18,010","19,577","19,108","18,344","20,106","19,583","19,471"
on-the-crosswalk,accident,"6,009",538,445,522,508,490,480,439,459,457,618,518,535
on-the-crosswalk,dead,172,12,11,18,15,10,5,7,11,14,22,25,22
on-the-crosswalk,injured,"6,377",563,476,557,544,520,523,470,480,487,652,547,558
on-the-crosswalk,severely injured,"2,984",299,223,251,256,241,231,214,209,212,315,251,282
on-the-crosswalk,slightly injured,"3,055",238,228,274,256,250,267,227,243,245,304,270,253
near-crosswalk,accident,"1,744",141,164,173,154,163,132,138,142,125,146,130,136
near-crosswalk,dead,38,5,2,1,5,0,2,2,1,4,5,8,3
near-crosswalk,injured,"2,251",179,217,220,174,212,167,187,183,159,188,175,190
near-crosswalk,severely injured,764,65,70,76,59,69,61,60,65,63,63,51,62
near-crosswalk,slightly injured,"1,345",108,137,130,105,128,97,106,107,87,118,110,112
in-the-tunnel,accident,535,32,44,50,49,58,45,37,43,45,48,52,32
in-the-tunnel,dead,27,1,1,3,3,7,0,5,3,0,1,2,1
in-the-tunnel,injured,"1,224",62,106,116,86,124,80,142,123,109,112,95,69
in-the-tunnel,severely injured,281,16,22,28,20,37,18,31,27,25,16,28,13
in-the-tunnel,slightly injured,845,42,72,80,60,81,50,98,90,77,86,55,54
on-the-bridge,accident,"1,219",83,97,112,128,101,81,92,94,94,106,116,115
on-the-bridge,dead,50,4,4,4,8,2,0,3,4,5,2,7,7
on-the-bridge,injured,"2,244",146,177,195,237,203,130,176,168,175,187,226,224
on-the-bridge,severely injured,499,35,49,43,54,38,22,43,35,33,36,60,51
on-the-bridge,slightly injured,"1,579",100,113,139,177,155,93,113,120,129,130,154,156
single-route,accident,"106,036","8,126","7,427","8,479","9,507","9,481","8,669","9,084","8,749","8,601","9,602","9,361","8,950"
single-route,dead,"2,536",218,174,183,214,203,176,212,196,224,257,235,244
single-route,injured,"157,465","12,410","11,352","12,407","14,133","13,862","12,766","13,450","13,082","12,725","14,151","13,835","13,292"
single-route,severely injured,"38,827","3,111","2,769","3,055","3,548","3,545","3,155","3,287","3,166","3,084","3,557","3,413","3,137"
single-route,slightly injured,"107,005","8,518","7,783","8,428","9,542","9,261","8,574","9,166","8,867","8,663","9,552","9,483","9,168"
in-the-intersection,accident,"64,488","4,945","4,554","5,291","5,549","5,702","5,294","5,572","5,458","5,210","5,756","5,629","5,528"
in-the-intersection,dead,851,47,56,62,70,74,72,77,66,78,93,96,60
in-the-intersection,injured,"101,406","8,007","7,267","8,337","8,775","8,846","8,245","8,916","8,709","8,161","8,983","8,572","8,588"
in-the-intersection,severely injured,"25,728","2,000","1,831","2,162","2,293","2,340","2,144","2,167","2,214","1,992","2,273","2,216","2,096"
in-the-intersection,slightly injured,"69,236","5,499","5,000","5,613","5,953","5,962","5,582","6,135","5,945","5,611","6,128","5,867","5,941"
near-intersection,accident,"34,761","2,796","2,472","2,803","3,002","3,009","2,737","3,027","2,890","2,834","3,128","2,974","3,089"
near-intersection,dead,485,38,34,30,34,35,47,44,48,37,50,37,51
near-intersection,injured,"52,368","4,343","3,760","4,093","4,508","4,588","4,056","4,505","4,484","4,254","4,692","4,417","4,668"
near-intersection,severely injured,"11,276",926,820,893,987,962,922,973,957,908,"1,015",934,979
near-intersection,slightly injured,"37,590","3,110","2,719","2,925","3,227","3,304","2,866","3,221","3,227","3,074","3,326","3,196","3,395"
crossing,accident,6,1,1,0,0,0,3,0,0,0,0,0,1
crossing,dead,0,0,0,0,0,0,0,0,0,0,0,0,0
crossing,injured,8,1,1,0,0,0,4,0,0,0,0,0,2
crossing,severely injured,5,0,1,0,0,0,2,0,0,0,0,0,2
crossing,slightly injured,3,1,0,0,0,0,2,0,0,0,0,0,0
etc/unknown,accident,"5,526",344,391,467,511,498,490,518,517,475,470,411,434
etc/unknown,dead,106,8,6,7,4,13,13,7,6,11,9,4,18
etc/unknown,injured,"7,366",485,548,614,664,727,633,669,699,627,585,578,537
etc/unknown,severely injured,"1,860",120,126,163,177,187,149,146,204,152,143,144,149
etc/unknown,slightly injured,"4,909",324,371,419,433,468,433,461,440,422,397,391,350
on-the-highway,accident,366,44,51,26,24,27,27,31,28,24,24,27,33
on-the-highway,dead,14,1,2,2,0,1,2,1,1,1,1,1,1
on-the-highway,injured,639,88,89,39,62,46,41,40,53,41,47,51,42
on-the-highway,severely injured,156,24,16,3,21,13,9,11,15,12,10,11,11
on-the-highway,slightly injured,452,59,71,31,38,30,30,29,37,25,34,38,30
in-the-underground-road,accident,227,17,18,23,20,25,19,17,18,18,20,16,16
in-the-underground-road,dead,13,2,2,0,0,2,4,0,0,1,0,1,1
in-the-underground-road,injured,372,39,28,31,33,44,23,31,36,23,38,24,22
in-the-underground-road,severely injured,83,7,5,7,9,12,5,9,0,10,7,3,9
in-the-underground-road,slightly injured,264,31,19,20,24,28,16,21,32,11,31,19,12
