,,total,0~2,2~4,4~6,6~8,8~10,10~12,12~14,14~16,16~18,18~20,20~22,22~24
total,accident,"220,917","11,853","6,930","6,941","13,344","21,889","19,879","21,115","23,544","26,037","29,122","22,436","17,827"
total,dead,"4,292",310,260,340,337,331,386,328,362,391,486,423,338
total,injured,"331,720","18,674","10,816","10,179","19,590","32,060","30,202","32,232","36,047","39,012","42,416","33,268","27,224"
total,severely injured,"82,463","4,503","2,820","3,067","5,540","8,085","7,786","7,853","8,824","9,251","10,237","8,009","6,488"
total,slightly injured,"226,283","12,951","7,171","6,430","12,862","21,828","20,403","22,210","24,590","26,827","29,188","22,902","18,921"
on-the-crosswalk,accident,"6,009",293,142,218,372,569,471,492,648,723,902,691,488
on-the-crosswalk,dead,172,11,12,29,17,8,16,11,5,9,19,22,13
on-the-crosswalk,injured,"6,377",318,153,198,380,589,490,522,698,784,944,761,540
on-the-crosswalk,severely injured,"2,984",151,74,119,196,282,234,247,310,342,432,363,234
on-the-crosswalk,slightly injured,"3,055",150,71,66,164,269,235,249,355,406,456,360,274
near-crosswalk,accident,"1,744",102,74,89,113,157,127,141,169,164,243,195,170
near-crosswalk,dead,38,4,0,5,2,2,1,0,3,1,9,9,2
near-crosswalk,injured,"2,251",132,106,118,151,205,161,192,211,215,301,239,220
near-crosswalk,severely injured,764,42,30,52,52,79,61,57,75,82,90,83,61
near-crosswalk,slightly injured,"1,345",79,68,60,92,112,91,125,126,123,185,142,142
in-the-tunnel,accident,535,26,21,16,31,63,70,67,77,66,46,24,28
in-the-tunnel,dead,27,1,0,1,1,7,3,1,6,4,1,0,2
in-the-tunnel,injured,"1,224",41,32,23,51,112,168,205,212,184,94,52,50
in-the-tunnel,severely injured,281,7,10,6,15,31,36,47,50,42,15,10,12
in-the-tunnel,slightly injured,845,29,19,13,32,70,116,145,149,127,71,40,34
on-the-bridge,accident,"1,219",82,42,49,90,137,117,84,114,130,165,106,103
on-the-bridge,dead,50,4,7,7,3,8,4,3,2,1,4,3,4
on-the-bridge,injured,"2,244",126,61,103,176,240,208,154,197,256,333,200,190
on-the-bridge,severely injured,499,31,18,25,51,56,41,22,44,54,81,37,39
on-the-bridge,slightly injured,"1,579",85,36,77,116,168,158,122,134,185,229,142,127
single-route,accident,"106,036","5,443","3,403","3,190","6,027","10,213","9,612","10,178","11,698","13,154","14,122","10,612","8,384"
single-route,dead,"2,536",205,156,189,169,172,213,180,221,235,300,270,226
single-route,injured,"157,465","8,076","5,005","4,478","8,946","14,788","14,686","15,528","17,949","19,567","20,566","15,347","12,529"
single-route,severely injured,"38,827","2,038","1,304","1,335","2,457","3,744","3,705","3,808","4,417","4,628","4,782","3,684","2,925"
single-route,slightly injured,"107,005","5,443","3,254","2,817","5,902","10,047","9,962","10,595","12,167","13,391","14,311","10,438","8,678"
in-the-intersection,accident,"64,488","3,514","1,952","2,181","4,393","6,806","5,968","6,332","6,585","7,173","8,246","6,318","5,020"
in-the-intersection,dead,851,45,53,54,79,84,86,80,77,92,84,71,46
in-the-intersection,injured,"101,406","6,190","3,431","3,526","6,674","10,446","9,249","9,967","10,368","11,284","12,361","9,867","8,043"
in-the-intersection,severely injured,"25,728","1,463",898,"1,067","1,931","2,578","2,452","2,507","2,611","2,635","3,130","2,424","2,032"
in-the-intersection,slightly injured,"69,236","4,365","2,302","2,249","4,367","7,200","6,261","6,861","7,049","7,825","8,404","6,843","5,510"
near-intersection,accident,"34,761","2,092","1,164","1,062","1,992","3,315","2,919","3,148","3,549","3,848","4,597","3,867","3,208"
near-intersection,dead,485,24,28,44,50,41,42,44,36,43,57,40,36
near-intersection,injured,"52,368","3,357","1,837","1,529","2,781","4,814","4,435","4,709","5,484","5,637","6,732","5,997","5,056"
near-intersection,severely injured,"11,276",660,431,401,718,"1,094","1,032",963,"1,111","1,190","1,441","1,204","1,031"
near-intersection,slightly injured,"37,590","2,508","1,302","1,036","1,897","3,377","3,084","3,426","3,986","4,040","4,791","4,393","3,750"
crossing,accident,6,0,0,0,0,0,3,0,0,2,0,1,0
crossing,dead,0,0,0,0,0,0,0,0,0,0,0,0,0
crossing,injured,8,0,0,0,0,0,5,0,0,2,0,1,0
crossing,severely injured,5,0,0,0,0,0,5,0,0,0,0,0,0
crossing,slightly injured,3,0,0,0,0,0,0,0,0,2,0,1,0
etc/unknown,accident,"5,526",253,110,111,269,561,545,617,652,715,732,575,386
etc/unknown,dead,106,11,1,7,12,9,19,7,7,6,12,7,8
etc/unknown,injured,"7,366",357,156,163,336,743,727,832,859,983,964,730,516
etc/unknown,severely injured,"1,860",95,38,47,98,187,201,182,196,259,250,184,123
etc/unknown,slightly injured,"4,909",235,102,91,222,505,451,593,571,650,638,492,359
on-the-highway,accident,366,33,15,14,41,43,29,38,26,29,43,30,25
on-the-highway,dead,14,3,1,3,3,0,1,0,2,0,0,0,1
on-the-highway,injured,639,53,27,29,78,75,52,77,32,42,72,52,50
on-the-highway,severely injured,156,11,15,12,18,23,10,10,7,10,6,13,21
on-the-highway,slightly injured,452,40,12,16,57,47,34,61,22,31,64,39,29
in-the-underground-road,accident,227,15,7,11,16,25,18,18,26,33,26,17,15
in-the-underground-road,dead,13,2,2,1,1,0,1,2,3,0,0,1,0
in-the-underground-road,injured,372,24,8,12,17,48,21,46,37,58,49,22,30
in-the-underground-road,severely injured,83,5,2,3,4,11,9,10,3,9,10,7,10
in-the-underground-road,slightly injured,264,17,5,5,13,33,11,33,31,47,39,12,18
