,,total,sunny,cloudy,rainy,foggy,snowy,etc
total,accident,220917,193891,7858,16298,322,1353,1195
total,dead,4292,3511,308,377,42,34,20
total,injured,331720,289628,12168,25189,602,2424,1709
total,severely injured,82463,71819,3201,6304,177,549,413
total,slightly injured,226283,197596,8175,17192,397,1751,1172
nationalRoad,accident,16959,14627,641,1324,73,184,110
nationalRoad,dead,723,567,63,66,14,11,2
nationalRoad,injured,29375,25169,1076,2455,127,363,185
nationalRoad,severely injured,7881,6716,334,641,44,106,40
nationalRoad,slightly injured,19691,16897,678,1661,77,243,135
localRoad,accident,18223,15685,829,1389,60,171,89
localRoad,dead,562,451,34,63,8,2,4
localRoad,injured,28860,24782,1319,2197,102,332,128
localRoad,severely injured,7962,6745,402,630,33,113,39
localRoad,slightly injured,18924,16347,830,1413,65,195,74
metropolitanCityRoad,accident,87685,77031,3013,6697,47,357,540
metropolitanCityRoad,dead,1003,807,80,106,2,4,4
metropolitanCityRoad,injured,126638,110792,4512,9915,77,584,758
metropolitanCityRoad,severely injured,30185,26391,1125,2381,23,100,165
metropolitanCityRoad,slightly injured,86655,75731,3070,6811,43,460,540
cityCountyRoad,accident,78627,69280,2638,5724,116,513,356
cityCountyRoad,dead,1527,1282,97,115,9,14,10
cityCountyRoad,injured,118227,103645,4118,8884,190,875,515
cityCountyRoad,severely injured,29483,25852,1063,2213,54,168,133
cityCountyRoad,slightly injured,81794,71677,2832,6152,130,658,345
expressway,accident,4347,3687,193,385,17,61,4
expressway,dead,273,228,22,15,7,1,0
expressway,injured,10318,8771,495,770,97,178,7
expressway,severely injured,2299,1916,115,202,17,45,4
expressway,slightly injured,7170,6127,349,487,79,125,3
etc,accident,15076,13581,544,779,9,67,96
etc,dead,204,176,12,12,2,2,0
etc,injured,18302,16469,648,968,9,92,116
etc,severely injured,4653,4199,162,237,6,17,32
etc,slightly injured,12049,10817,416,668,3,70,75
