,,total,1,2,3,4,5,6,7,8,9,10,11,12
total,accident,220917,17067,15664,17946,19452,19554,17977,18955,18398,17883,19918,19234,18869
total,dead,4292,336,292,310,353,347,321,358,336,375,440,416,408
total,injured,331720,26323,24021,26609,29216,29172,26668,28586,28017,26761,29635,28520,28192
total,severely injured,82463,6603,5932,6681,7424,7444,6718,6941,6892,6491,7435,7111,6791
total,slightly injured,226283,18030,16513,18059,19815,19667,18010,19577,19108,18344,20106,19583,19471
below-14,accident,1008,27,32,73,105,155,132,110,99,91,97,52,35
below-14,dead,2,0,0,0,0,1,1,0,0,0,0,0,0
below-14,injured,1099,29,32,79,119,162,138,121,113,100,105,61,40
below-14,severely injured,238,6,5,16,31,31,23,26,30,25,21,15,9
below-14,slightly injured,608,14,17,47,66,90,86,66,60,51,53,33,25
15~20,accident,7998,561,491,596,717,747,687,818,740,679,743,616,603
15~20,dead,144,16,7,15,12,6,10,8,12,20,7,23,8
15~20,injured,11496,817,720,844,1019,1064,946,1223,1101,964,1037,838,923
15~20,severely injured,2901,200,184,206,258,294,213,315,278,249,272,205,227
15~20,slightly injured,7069,520,459,534,640,625,586,727,679,579,608,518,594
21~30,accident,29797,2364,2102,2377,2648,2702,2416,2583,2490,2463,2655,2524,2473
21~30,dead,522,47,37,40,43,51,38,45,30,50,47,43,51
21~30,injured,46405,3714,3349,3612,4118,4178,3703,4074,4026,3774,4115,3866,3876
21~30,severely injured,10808,886,824,811,995,1041,892,899,916,840,929,888,887
21~30,slightly injured,32356,2580,2287,2565,2837,2823,2558,2860,2815,2673,2887,2737,2734
31~40,accident,35900,2904,2619,3039,3273,3096,2879,3034,2936,2732,3078,3176,3134
31~40,dead,583,49,43,44,46,44,42,56,33,48,66,56,56
31~40,injured,54777,4656,4065,4658,5019,4707,4310,4529,4463,4156,4703,4778,4733
31~40,severely injured,13235,1141,977,1129,1180,1165,1098,1049,1069,1006,1179,1148,1094
31~40,slightly injured,37908,3246,2814,3208,3509,3222,2944,3146,3078,2877,3211,3308,3345
41~50,accident,47219,3836,3488,3913,4220,4049,3795,4081,3776,3755,4107,4030,4169
41~50,dead,898,69,67,67,79,68,55,74,73,71,102,85,88
41~50,injured,71492,6040,5484,5822,6312,6022,5724,6180,5711,5748,6208,6011,6230
41~50,severely injured,17936,1496,1374,1453,1629,1527,1516,1512,1442,1400,1576,1516,1495
41~50,slightly injured,49084,4200,3784,3970,4295,4145,3827,4293,3865,3960,4259,4166,4320
51~60,accident,54299,4368,3946,4440,4641,4820,4355,4511,4484,4342,4951,4818,4623
51~60,dead,1045,80,82,77,89,79,74,82,77,93,109,90,113
51~60,injured,82272,6683,6069,6543,7060,7314,6504,6935,6994,6564,7443,7212,6951
51~60,severely injured,20703,1747,1503,1734,1841,1855,1600,1739,1738,1606,1843,1813,1684
51~60,slightly injured,56656,4552,4239,4406,4821,5002,4463,4801,4833,4569,5137,5004,4829
61~64,accident,15305,1049,1011,1177,1313,1320,1295,1289,1343,1311,1447,1401,1349
61~64,dead,338,23,18,14,20,18,32,31,40,32,36,44,30
61~64,injured,22989,1619,1517,1758,1996,2007,1929,1956,2057,1982,2138,2108,1922
61~64,severely injured,5972,434,416,466,553,531,513,511,483,497,561,522,485
61~64,slightly injured,15607,1082,1018,1185,1331,1344,1306,1327,1452,1359,1435,1447,1321
65~70,accident,13773,939,958,1086,1166,1253,1122,1163,1222,1148,1278,1232,1206
65~70,dead,304,22,17,16,23,40,24,19,25,26,23,35,34
65~70,injured,20665,1428,1456,1650,1745,1859,1720,1793,1828,1721,1815,1801,1849
65~70,severely injured,5531,377,352,433,494,509,422,458,508,451,517,507,503
65~70,slightly injured,13876,972,1006,1114,1141,1239,1192,1214,1224,1162,1205,1197,1210
above-71,accident,10656,647,664,847,960,998,893,902,915,905,1102,968,855
above-71,dead,455,30,20,37,41,40,45,43,46,35,50,40,28
above-71,injured,15022,917,930,1212,1374,1398,1243,1266,1283,1243,1562,1394,1200
above-71,severely injured,4285,243,231,360,382,418,361,358,359,340,458,431,344
above-71,slightly injured,9631,606,629,754,889,887,784,803,828,797,983,886,785
unknown,accident,4962,372,353,398,409,414,403,464,393,457,460,417,422
unknown,dead,1,0,1,0,0,0,0,0,0,0,0,0,0
unknown,injured,5503,420,399,431,454,461,451,509,441,509,509,451,468
unknown,severely injured,854,73,66,73,61,73,80,74,69,77,79,66,63
unknown,slightly injured,3488,258,260,276,286,290,264,340,274,317,328,287,308
